tile,pixels,isce2_slc.data.amplitude,isce2_slc.data.complex,isce2_slc.data.imaginary,isce2_slc.data.phase,isce2_slc.data.real,nisar_f32.L.A.HH.amplitude,nisar_f32.L.A.HH.complex,nisar_f32.L.A.HH.imaginary,nisar_f32.L.A.HH.phase,nisar_f32.L.A.HH.real,nisar_f32.L.A.HV.amplitude,nisar_f32.L.A.HV.complex,nisar_f32.L.A.HV.imaginary,nisar_f32.L.A.HV.phase,nisar_f32.L.A.HV.real,nisar_f32.L.A.VH.amplitude,nisar_f32.L.A.VH.complex,nisar_f32.L.A.VH.imaginary,nisar_f32.L.A.VH.phase,nisar_f32.L.A.VH.real,nisar_f32.L.A.VV.amplitude,nisar_f32.L.A.VV.complex,nisar_f32.L.A.VV.imaginary,nisar_f32.L.A.VV.phase,nisar_f32.L.A.VV.real,nisar_f32.L.B.HH.amplitude,nisar_f32.L.B.HH.complex,nisar_f32.L.B.HH.imaginary,nisar_f32.L.B.HH.phase,nisar_f32.L.B.HH.real,nisar_f32.L.B.HV.amplitude,nisar_f32.L.B.HV.complex,nisar_f32.L.B.HV.imaginary,nisar_f32.L.B.HV.phase,nisar_f32.L.B.HV.real,nisar_f32.L.B.VH.amplitude,nisar_f32.L.B.VH.complex,nisar_f32.L.B.VH.imaginary,nisar_f32.L.B.VH.phase,nisar_f32.L.B.VH.real,nisar_f32.L.B.VV.amplitude,nisar_f32.L.B.VV.complex,nisar_f32.L.B.VV.imaginary,nisar_f32.L.B.VV.phase,nisar_f32.L.B.VV.real,nisar_f16.L.A.HH.amplitude,nisar_f16.L.A.HH.complex,nisar_f16.L.A.HH.imaginary,nisar_f16.L.A.HH.phase,nisar_f16.L.A.HH.real,nisar_s3_f16.L.A.HH.amplitude,nisar_s3_f16.L.A.HH.complex,nisar_s3_f16.L.A.HH.imaginary,nisar_s3_f16.L.A.HH.phase,nisar_s3_f16.L.A.HH.real
"(32, 32)",1024,0.182649,0.397677,0.185414,0.292086,0.19357,0.283191,0.372677,0.3013,0.366907,0.259869,0.29787,0.370767,0.27137,0.373867,0.254282,0.301202,0.362096,0.262584,0.378694,0.257282,0.295202,0.380196,0.28119,0.383597,0.305683,0.287772,0.38479,0.255808,0.37243,0.262657,0.272766,0.364754,0.339003,0.363642,0.2575,0.268072,0.371141,0.254686,0.380225,0.274519,0.290063,0.392984,0.264665,0.357854,0.269454,1.057624,1.084166,0.963829,1.152851,1.005595,295.716261,611.37664,455.041783,438.846837,311.862465
"(64, 64)",4096,0.097555,0.540442,0.062066,0.416555,0.061274,0.11842,0.420034,0.08902,0.40766,0.08714,0.121451,0.420783,0.086021,0.40777,0.089278,0.117788,0.434557,0.091186,0.410003,0.087948,0.118727,0.447219,0.09091,0.408395,0.091875,0.122977,0.420193,0.083018,0.413536,0.087361,0.116422,0.417212,0.088057,0.405084,0.086402,0.116578,0.422935,0.085281,0.406507,0.08586,0.12614,0.423902,0.086826,0.413874,0.083331,2.31254,2.579002,2.177421,2.559217,2.274401,688.494538,1056.043652,866.083978,890.450874,734.466912
"(128, 128)",16384,0.280087,1.947018,0.137902,1.4334,0.145912,0.301043,1.452545,0.165315,1.435418,0.16461,0.278349,1.47183,0.162463,1.446059,0.162197,0.28317,1.452435,0.162403,1.424284,0.164722,0.271597,1.474985,0.162142,1.441073,0.162312,0.277717,1.463635,0.162001,1.444376,0.163817,0.275308,1.467338,0.155397,1.433782,0.159412,0.289014,1.454711,0.16106,1.418062,0.162272,0.285282,1.450975,0.162933,1.424584,0.160814,7.65619,8.661062,7.304158,8.615428,7.243211,1374.43013,1917.886078,1737.120651,1551.923225,1454.749659
"(256, 256)",65536,1.032667,6.296684,0.451501,5.515919,0.45407,1.475911,5.79765,0.678133,5.788281,0.686168,1.117248,5.805172,0.685372,5.754856,0.677971,1.149533,5.868488,0.676425,5.773479,0.685685,1.433891,5.758722,0.732012,5.761708,0.708766,1.452591,5.862134,0.671948,5.747161,0.677057,1.186888,5.812533,0.650601,5.674763,0.69991,1.189025,5.814278,0.67181,5.786149,0.684806,1.628777,5.897643,0.741629,5.784459,0.700501,28.668397,32.931343,27.790806,32.445039,27.484075,2871.26678,3881.867641,3323.387259,3164.987093,2738.511834
"(512, 512)",262144,3.992276,23.777408,1.706912,21.832415,1.710216,6.537775,23.980025,2.516376,22.673308,2.561726,4.415138,23.069349,2.626256,22.864543,2.626338,4.429166,23.193806,2.625604,22.564828,2.588935,6.413701,23.099472,2.594499,22.729473,2.636945,5.459681,23.073219,2.581548,22.725228,2.598898,4.483798,23.017123,2.455557,22.310478,2.577883,4.795145,22.98192,2.602292,22.726349,2.568575,7.239569,22.755163,2.617368,22.515204,2.597309,111.998797,127.853759,108.135042,127.766413,108.11614,5669.719821,7715.402575,7140.326337,6128.037545,5327.786901
"(1024, 1024)",1048576,16.980899,93.297326,6.561103,85.748774,6.678309,24.356097,91.823827,10.112336,90.160715,10.11461,17.252333,91.660035,9.882424,90.254269,9.847602,17.811533,92.663122,9.874708,89.873117,9.864293,27.909311,90.844724,10.096229,90.191586,9.973441,,,,,,,,,,,,,,,,,,,,,445.201736,509.985921,429.205429,507.594226,428.206261,11553.997742,15805.651417,13173.656984,12089.325433,11624.106685
"(2048, 2048)",4194304,67.084511,369.210759,25.65284,344.612773,25.859543,103.462297,381.519389,55.464064,375.262114,55.660977,86.072796,382.196906,55.876637,376.188567,55.322335,88.32731,382.289805,55.749764,375.330135,55.444151,135.073857,385.679146,55.744991,375.568403,56.026769,,,,,,,,,,,,,,,,,,,,,1779.186306,2045.280094,1721.51777,2042.784727,1721.157357,25247.164228,31981.3882,27297.303085,23356.827976,23837.034099
"(4096, 4096)",16777216,278.097633,1465.73425,128.088272,1404.413138,128.252301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7118.177222,8206.405623,6886.732947,8169.026596,6891.06411,51924.055714,56739.34365,57595.0311,48777.563797,49763.039617
"(8192, 8192)",67108864,1102.719127,5828.86201,506.163159,5648.620702,514.725227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28450.037908,32822.911875,27538.273032,32632.890493,27546.36075,212432.163181,220794.566633,201344.669276,236955.966507,212308.488258
