tile,pixels,isce2_slc.data.amplitude,isce2_slc.data.complex,isce2_slc.data.imaginary,isce2_slc.data.phase,isce2_slc.data.real,nisar_f32.L.A.HH.amplitude,nisar_f32.L.A.HH.complex,nisar_f32.L.A.HH.imaginary,nisar_f32.L.A.HH.phase,nisar_f32.L.A.HH.real,nisar_f32.L.A.HV.amplitude,nisar_f32.L.A.HV.complex,nisar_f32.L.A.HV.imaginary,nisar_f32.L.A.HV.phase,nisar_f32.L.A.HV.real,nisar_f32.L.A.VH.amplitude,nisar_f32.L.A.VH.complex,nisar_f32.L.A.VH.imaginary,nisar_f32.L.A.VH.phase,nisar_f32.L.A.VH.real,nisar_f32.L.A.VV.amplitude,nisar_f32.L.A.VV.complex,nisar_f32.L.A.VV.imaginary,nisar_f32.L.A.VV.phase,nisar_f32.L.A.VV.real,nisar_f32.L.B.HH.amplitude,nisar_f32.L.B.HH.complex,nisar_f32.L.B.HH.imaginary,nisar_f32.L.B.HH.phase,nisar_f32.L.B.HH.real,nisar_f32.L.B.HV.amplitude,nisar_f32.L.B.HV.complex,nisar_f32.L.B.HV.imaginary,nisar_f32.L.B.HV.phase,nisar_f32.L.B.HV.real,nisar_f32.L.B.VH.amplitude,nisar_f32.L.B.VH.complex,nisar_f32.L.B.VH.imaginary,nisar_f32.L.B.VH.phase,nisar_f32.L.B.VH.real,nisar_f32.L.B.VV.amplitude,nisar_f32.L.B.VV.complex,nisar_f32.L.B.VV.imaginary,nisar_f32.L.B.VV.phase,nisar_f32.L.B.VV.real,nisar_f16.L.A.HH.amplitude,nisar_f16.L.A.HH.complex,nisar_f16.L.A.HH.imaginary,nisar_f16.L.A.HH.phase,nisar_f16.L.A.HH.real,nisar_s3_f16.L.A.HH.amplitude,nisar_s3_f16.L.A.HH.complex,nisar_s3_f16.L.A.HH.imaginary,nisar_s3_f16.L.A.HH.phase,nisar_s3_f16.L.A.HH.real
"(32, 32)",1024,0.0001783681640625,0.0003883564453125,0.000181068359375,0.000285240234375,0.000189033203125,0.0002765537109375,0.0003639423828125,0.00029423828125,0.0003583076171875,0.0002537783203125,0.000290888671875,0.0003620771484375,0.000265009765625,0.0003651044921875,0.000248322265625,0.000294142578125,0.000353609375,0.0002564296875,0.000369818359375,0.000251251953125,0.000288283203125,0.00037128515625,0.000274599609375,0.0003746064453125,0.0002985185546875,0.00028102734375,0.000375771484375,0.0002498125,0.000363701171875,0.0002565009765625,0.000266373046875,0.000356205078125,0.0003310576171875,0.000355119140625,0.00025146484375,0.0002617890625,0.0003624423828125,0.000248716796875,0.0003713134765625,0.0002680849609375,0.0002832646484375,0.0003837734375,0.0002584619140625,0.000349466796875,0.000263138671875,0.0010328359375,0.001058755859375,0.0009412392578125,0.0011258310546875,0.0009820263671875,0.2887854111328125,0.5970475,0.4443767412109375,0.4285613642578125,0.3045531884765625
"(64, 64)",4096,2.3817138671875e-05,0.00013194384765625,1.515283203125e-05,0.000101697998046875,1.495947265625e-05,2.89111328125e-05,0.00010254736328125,2.17333984375e-05,9.95263671875e-05,2.12744140625e-05,2.9651123046875e-05,0.000102730224609375,2.1001220703125e-05,9.955322265625e-05,2.179638671875e-05,2.87568359375e-05,0.000106093017578125,2.226220703125e-05,0.000100098388671875,2.14716796875e-05,2.8986083984375e-05,0.000109184326171875,2.219482421875e-05,9.9705810546875e-05,2.2430419921875e-05,3.0023681640625e-05,0.000102586181640625,2.026806640625e-05,0.0001009609375,2.1328369140625e-05,2.842333984375e-05,0.0001018583984375,2.1498291015625e-05,9.88974609375e-05,2.109423828125e-05,2.846142578125e-05,0.000103255615234375,2.0820556640625e-05,9.9244873046875e-05,2.09619140625e-05,3.07958984375e-05,0.00010349169921875,2.119775390625e-05,0.00010104345703125,2.0344482421875e-05,0.0005645849609375,0.00062963916015625,0.000531596923828125,0.000624808837890625,0.000555273681640625,0.16808948681640626,0.2578231572265625,0.21144628369140625,0.21739523291015625,0.1793132109375
"(128, 128)",16384,1.709515380859375e-05,0.0001188365478515625,8.4168701171875e-06,8.748779296875e-05,8.90576171875e-06,1.837420654296875e-05,8.865631103515625e-05,1.009002685546875e-05,8.76109619140625e-05,1.00469970703125e-05,1.698907470703125e-05,8.98333740234375e-05,9.91595458984375e-06,8.826043701171875e-05,9.89971923828125e-06,1.72833251953125e-05,8.864959716796875e-05,9.91229248046875e-06,8.6931396484375e-05,1.00538330078125e-05,1.657696533203125e-05,9.002593994140625e-05,9.8963623046875e-06,8.795611572265625e-05,9.90673828125e-06,1.695050048828125e-05,8.933319091796875e-05,9.88775634765625e-06,8.815771484375e-05,9.99859619140625e-06,1.6803466796875e-05,8.95592041015625e-05,9.48468017578125e-06,8.75111083984375e-05,9.729736328125e-06,1.76400146484375e-05,8.878851318359376e-05,9.830322265625e-06,8.65516357421875e-05,9.904296875e-06,1.74122314453125e-05,8.856048583984374e-05,9.94464111328125e-06,8.694970703125e-05,9.8153076171875e-06,0.0004672967529296875,0.0005286292724609375,0.0004458104248046875,0.000525843994140625,0.0004420905151367187,0.08388855773925781,0.11705847644042969,0.10602543035888672,0.0947218765258789,0.08879087274169922
"(256, 256)",65536,1.5757247924804688e-05,9.607977294921875e-05,6.889358520507812e-06,8.416624450683594e-05,6.928558349609375e-06,2.2520614624023437e-05,8.846511840820312e-05,1.0347488403320312e-05,8.832215881347656e-05,1.04700927734375e-05,1.70478515625e-05,8.857989501953125e-05,1.045794677734375e-05,8.78121337890625e-05,1.0345016479492187e-05,1.754048156738281e-05,8.95460205078125e-05,1.0321426391601563e-05,8.809629821777344e-05,1.0462722778320312e-05,2.1879440307617188e-05,8.787112426757812e-05,1.116961669921875e-05,8.791668701171874e-05,1.0814910888671875e-05,2.2164779663085937e-05,8.944906616210938e-05,1.025311279296875e-05,8.769471740722657e-05,1.0331069946289063e-05,1.81104736328125e-05,8.869221496582032e-05,9.927383422851562e-06,8.659001159667968e-05,1.0679779052734375e-05,1.8143081665039062e-05,8.871884155273437e-05,1.0251007080078125e-05,8.828962707519531e-05,1.0449310302734375e-05,2.485316467285156e-05,8.99908905029297e-05,1.1316360473632812e-05,8.826383972167969e-05,1.0688796997070313e-05,0.0004374450225830078,0.0005024924163818359,0.0004240540466308594,0.000495072006225586,0.0004193737030029297,0.04381205413818359,0.059232599502563474,0.050710865158081056,0.04829387043762207,0.041786374420166014
"(512, 512)",262144,1.5229324340820312e-05,9.070361328125e-05,6.5113525390625e-06,8.328405380249024e-05,6.523956298828125e-06,2.4939632415771484e-05,9.147653579711915e-05,9.599212646484376e-06,8.649180603027343e-05,9.77220916748047e-06,1.684241485595703e-05,8.800258255004882e-05,1.001837158203125e-05,8.722130966186524e-05,1.0018684387207031e-05,1.689592742919922e-05,8.847734832763671e-05,1.0015884399414063e-05,8.607798767089843e-05,9.87600326538086e-06,2.4466327667236327e-05,8.811749267578124e-05,9.897228240966796e-06,8.670605850219726e-05,1.0059146881103515e-05,2.0827030181884765e-05,8.80173454284668e-05,9.847824096679688e-06,8.668986511230469e-05,9.914009094238282e-06,1.7104331970214844e-05,8.78033561706543e-05,9.367206573486329e-06,8.510771942138672e-05,9.833843231201172e-06,1.829202651977539e-05,8.76690673828125e-05,9.926956176757812e-06,8.669414138793945e-05,9.798336029052735e-06,2.7616764068603517e-05,8.680405807495117e-05,9.984466552734375e-06,8.588868713378907e-05,9.907947540283203e-06,0.00042724150466918944,0.0004877233848571777,0.0004125024490356445,0.00048739018630981445,0.0004124303436279297,0.021628264698028563,0.029431925106048584,0.027238183353424074,0.02337660806655884,0.020323894123077394
"(1024, 1024)",1048576,1.6194247245788575e-05,8.897526359558105e-05,6.257155418395996e-06,8.177640342712402e-05,6.368931770324707e-06,2.3227784156799315e-05,8.757002544403076e-05,9.643875122070313e-06,8.598395824432373e-05,9.646043777465821e-06,1.645310688018799e-05,8.741382122039794e-05,9.424613952636719e-06,8.60731782913208e-05,9.39140510559082e-06,1.6986401557922364e-05,8.837043952941895e-05,9.417255401611328e-06,8.570968341827392e-05,9.407322883605957e-06,2.6616393089294433e-05,8.663628005981445e-05,9.628514289855956e-06,8.601339912414551e-05,9.511414527893066e-06,,,,,,,,,,,,,,,,,,,,,0.00042457746124267576,0.00048636047458648683,0.00040932219409942625,0.00048407957649230956,0.00040836931324005125,0.011018750898361206,0.01507344381046295,0.01256337831878662,0.011529279168128967,0.011085611996650696
"(2048, 2048)",4194304,1.599419379234314e-05,8.802670454978943e-05,6.116113662719727e-06,8.21620876789093e-05,6.1653954982757565e-06,2.4667333841323854e-05,9.096131062507629e-05,1.3223663330078125e-05,8.946946001052856e-05,1.3270611047744752e-05,2.052135372161865e-05,9.112284326553345e-05,1.3322028398513795e-05,8.969034361839294e-05,1.318987250328064e-05,2.1058871746063232e-05,9.11449921131134e-05,1.3291779518127441e-05,8.948567748069763e-05,1.3218915700912475e-05,3.220411705970764e-05,9.195307397842407e-05,1.329064154624939e-05,8.9542484998703e-05,1.335782265663147e-05,,,,,,,,,,,,,,,,,,,,,0.0004241910710334778,0.0004876327738761902,0.00041044182062149046,0.00048703783202171325,0.00041035589146614076,0.0060193930215835575,0.007624957132339478,0.0065081842148303985,0.005568701738357544,0.005683191799879074
"(4096, 4096)",16777216,1.6575910627841948e-05,8.73645693063736e-05,7.634655952453613e-06,8.370954620838165e-05,7.644432842731475e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00042427642476558687,0.0004891398920416832,0.00041048127096891406,0.00048691192841529844,0.00041073942840099336,0.003094914896130562,0.003381928423047066,0.0034329313695430756,0.002907369363129139,0.002966108299314976
"(8192, 8192)",67108864,1.6431795462965966e-05,8.685681238770485e-05,7.542418822646141e-06,8.417100760340691e-05,7.670003578066826e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00042393860083818433,0.0004890995007008314,0.00041035224545001985,0.0004862679614573717,0.0004104727618396282,0.0031654859063178302,0.0032900954281240703,0.0030002693724036217,0.0035309190527647734,0.0031636430063545704
